ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core
0,ADMIRALTY,2797,2668,2747,2593
1,AIRPORT ROAD,681,654,258,250
2,ALEXANDRA HILL,5641,5374,5250,5005
3,ALEXANDRA NORTH,1808,2017,1419,1476
4,ALJUNIED,7385,7318,6252,6239
5,ANAK BUKIT,7385,7231,6252,6171
6,ANCHORVALE,7385,7318,6252,6239
7,ANG MO KIO TOWN CENTRE,5789,6396,5501,5760
8,ANSON,2246,3060,1689,2325
9,BALESTIER,6610,6527,6252,6106
10,BANGKIT,5979,6401,5529,5760
11,BAYFRONT SUBZONE,7385,7318,6252,6239
12,BAYSHORE,2345,4035,2132,3776
13,BEDOK NORTH,7385,7318,6252,6239
14,BEDOK RESERVOIR,7385,7318,6252,6239
15,BEDOK SOUTH,7385,7318,6252,6239
16,BENCOOLEN,6610,6527,6252,5968
17,BENDEMEER,7385,7318,6252,6239
18,BENOI SECTOR,586,556,406,392
19,BIDADARI,6610,6914,5509,5763
20,BISHAN EAST,7385,7318,6252,6239
21,BOAT QUAY,3682,2030,3417,1851
22,BOON KENG,7236,7318,6252,6239
23,BOON LAY PLACE,5104,5700,4909,5451
24,BOON TECK,4714,4295,4576,3903
25,BOULEVARD,7385,7318,6252,6239
26,BRADDELL,4039,4480,3427,3984
27,BRAS BASAH,6610,6527,5904,5818
28,BRICKWORKS,3930,4035,3649,3745
29,BUGIS,7385,7318,6252,6239
30,BUKIT BATOK CENTRAL,7385,7318,6252,6239
31,BUKIT BATOK EAST,3930,4637,3788,4298
32,BUKIT BATOK SOUTH,5186,4480,4611,4153
33,BUKIT BATOK WEST,4584,3659,4294,3540
34,BUKIT HO SWEE,3906,4445,3749,4058
35,BUKIT MERAH,5186,5129,4589,4298
36,CECIL,4397,4445,2720,2839
37,CENTRAL SUBZONE,7385,7318,5850,5400
38,CENTRAL WATER CATCHMENT,3730,3641,3767,3847
39,CHANGI AIRPORT,7385,7318,6252,6239
40,CHANGI POINT,2427,2183,3098,3027
41,CHANGI WEST,2754,3708,2387,3181
42,CHATSWORTH,4218,4445,3854,4123
43,CHENG SAN,7385,7318,6252,6239
44,CHIN BEE,2797,1148,2071,877
45,CHINA SQUARE,6731,6527,6252,5760
46,CHINATOWN,7385,7318,6252,6239
47,CHOA CHU KANG CENTRAL,7385,7318,6252,6239
48,CHOA CHU KANG NORTH,1731,1865,1534,1625
49,CHONG BOON,5789,6396,5321,5684
50,CITY HALL,7385,7318,6252,6239
51,CITY TERMINALS,3349,2817,2896,2325
52,CLARKE QUAY,7385,7318,6252,6171
53,CLEMENTI CENTRAL,6385,6483,5501,5684
54,CLEMENTI NORTH,7385,7318,6252,6239
55,CLEMENTI WEST,4587,3256,4434,3072
56,CLEMENTI WOODS,5403,5179,5059,4752
57,CLIFFORD PIER,3715,3557,2581,2767
58,COMMONWEALTH,7220,7231,6252,6171
59,COMPASSVALE,7385,7318,6252,6239
60,CORONATION ROAD,6385,6527,5501,5666
61,CRAWFORD,6610,6527,5986,6106
62,DAIRY FARM,4744,5102,4154,4173
63,DEFU INDUSTRIAL PARK,3235,3318,2709,3000
64,DEPOT ROAD,2767,2685,2324,2325
65,DHOBY GHAUT,7385,7318,6252,6239
66,DOVER,5104,4696,4440,4033
67,DUNEARN,3264,4445,3089,3930
68,EVERTON PARK,4908,4445,4589,4058
69,FABER,3187,3370,2634,2880
70,FAJAR,5369,5863,5059,5445
71,FARRER COURT,5602,5800,4909,5072
72,FARRER PARK,7385,7318,6252,6239
73,FERNVALE,7385,7318,6252,6239
74,FLORA DRIVE,3524,3554,3040,3181
75,FORT CANNING,2514,2767,2372,2893
76,FRANKEL,7385,6894,6252,6106
77,GALI BATU,3444,3193,3649,3569
78,GEYLANG BAHRU,6610,6527,5904,6106
79,GEYLANG EAST,7385,7318,6252,6239
80,GHIM MOH,3028,3537,2812,3388
81,GOMBAK,7385,7318,6252,6171
82,GOODWOOD PARK,2403,1894,2004,1692
83,GREENWOOD PARK,1341,1275,645,1089
84,GUILIN,7385,7318,6252,6171
85,GUL BASIN,484,314,352,291
86,GUL CIRCLE,4699,5155,4077,4471
87,HENDERSON HILL,5054,5374,4589,5040
88,HILLCREST,2689,3352,2114,2880
89,HILLVIEW,4584,4446,4154,4058
90,HOLLAND DRIVE,4397,4696,4154,4298
91,HOLLAND ROAD,6385,6894,5501,5684
92,HONG KAH,5186,5700,5059,5451
93,HONG KAH NORTH,3811,4093,3445,3745
94,HOUGANG CENTRAL,7385,7318,6252,6239
95,HOUGANG EAST,5499,5320,5044,4808
96,HOUGANG WEST,6424,6396,5904,5684
97,INSTITUTION HILL,1518,1409,1498,1367
98,INTERNATIONAL BUSINESS PARK,2305,2561,1357,1664
99,ISTANA NEGARA,568,620,435,462
100,JELEBU,7385,7196,6252,6171
101,JOO KOON,7268,7196,6252,6106
102,JOO SENG,7385,7318,6113,6073
103,JURONG GATEWAY,7385,7318,6252,6239
104,JURONG PORT,941,850,700,675
105,JURONG RIVER,2250,1131,2588,1064
106,JURONG WEST CENTRAL,7385,7318,6252,6239
107,KAKI BUKIT,7385,7318,6252,6239
108,KALLANG BAHRU,6610,6527,5904,5763
109,KALLANG WAY,3863,4566,2720,3733
110,KAMPONG BUGIS,4307,4006,4464,4058
111,KAMPONG GLAM,3028,2874,2896,2841
112,KAMPONG JAVA,6610,6504,6113,5760
113,KAMPONG TIONG BAHRU,4762,4445,4541,4058
114,KAMPONG UBI,7385,7318,6252,6171
115,KANGKAR,5499,5374,5044,5087
116,KATONG,5104,4758,4857,4481
117,KEAT HONG,4584,3023,4301,2839
118,KEBUN BAHRU,4762,4006,4467,3847
119,KEMBANGAN,7385,7318,6252,6239
120,KENT RIDGE,2565,2723,1619,1568
121,KHATIB,7385,7318,6252,6239
122,KIAN TECK,2797,1826,2289,1577
123,KIM KEAT,1895,3119,1723,2952
124,KOVAN,7385,7318,6252,6239
125,KRANJI,2882,2436,3179,2421
126,LAKESIDE,6385,6483,6113,6106
127,LAVENDER,7385,7318,6252,6239
128,LEEDON PARK,6385,6396,5501,5678
129,LEONIE HILL,2182,1914,1902,1663
130,LIM CHU KANG,476,587,696,670
131,LITTLE INDIA,1487,1390,1611,1620
132,LIU FANG,1104,1131,908,872
133,LORONG 8 TOA PAYOH,4254,3856,3919,3545
134,LORONG AH SOO,5789,6085,5501,5684
135,LORONG CHUAN,6133,6396,5321,5279
136,LORONG HALUS,360,241,325,176
137,LOWER SELETAR,2673,4076,2478,3958
138,LOYANG EAST,1311,1849,981,1759
139,LOYANG WEST,2619,1534,2106,962
140,MACKENZIE,2384,2782,2626,2907
141,MACPHERSON,7385,7318,6252,6239
142,MALCOLM,4711,4445,4136,3837
143,MANDAI EAST,2143,1494,2148,1543
144,MANDAI ESTATE,1171,766,1150,709
145,MANDAI WEST,652,444,593,381
146,MARGARET DRIVE,4218,4445,3843,4058
147,MARINA CENTRE,7385,7318,6252,6171
148,MARINA SOUTH,200,182,259,228
149,MARINE PARADE,6317,6527,5904,6106
150,MARITIME SQUARE,7385,7318,6252,6239
151,MARYMOUNT,5789,6396,5300,5684
152,MATILDA,7385,7318,6252,6239
153,MAXWELL,805,483,876,502
154,MEI CHIN,7220,7231,6252,6171
155,MIDVIEW,3577,3887,3235,3544
156,MONK'S HILL,732,528,576,432
157,MOULMEIN,7385,7318,6252,6239
158,MOUNT PLEASANT,3057,2921,2461,2230
159,MOUNTBATTEN,3715,4237,3390,3814
160,NASSIM,6017,6527,5398,5760
161,NATIONAL UNIVERSITY OF S'PORE,7385,7318,5501,5445
162,NATURE RESERVE,5974,6221,5321,5400
163,NEE SOON,1626,1366,1524,1178
164,NEWTON CIRCUS,7385,7318,6252,6239
165,NORTH COAST,4607,4158,4507,4173
166,NORTHLAND,2673,3387,2444,3119
167,NORTHSHORE,2439,2482,2530,2683
168,ONE NORTH,7385,7318,6252,6171
169,ONE TREE HILL,2661,2789,2506,2645
170,ORANGE GROVE,808,458,850,413
171,OXLEY,1055,1176,1114,1255
172,PANDAN,1983,1385,1304,948
173,PANG SUA,508,492,301,283
174,PASIR PANJANG 1,6385,6396,5501,5400
175,PASIR PANJANG 2,3730,4438,2433,2933
176,PASIR RIS CENTRAL,7385,7318,6252,6239
177,PASIR RIS DRIVE,6347,6527,5904,5925
178,PASIR RIS PARK,1741,2566,1716,2694
179,PASIR RIS WAFER FAB PARK,2154,904,1995,810
180,PASIR RIS WEST,5286,5320,4858,4867
181,PATERSON,2345,3288,2859,3540
182,PAYA LEBAR EAST,738,831,562,631
183,PAYA LEBAR NORTH,2061,1777,2112,1770
184,PAYA LEBAR WEST,624,476,365,285
185,PEARL'S HILL,4397,4645,4154,4504
186,PEI CHUN,1487,2555,1385,2325
187,PENG SIANG,4584,3023,4301,2839
188,PENJURU CRESCENT,828,1131,653,887
189,PEOPLE'S PARK,6610,6655,5773,6106
190,PHILLIP,649,69,322,22
191,PIONEER SECTOR,303,424,269,367
192,PLAB,678,1178,404,850
193,PORT,5678,5374,4464,4298
194,POTONG PASIR,7385,7066,6252,6106
195,PUNGGOL FIELD,7385,7318,6252,6239
196,PUNGGOL TOWN CENTRE,5789,5930,5501,5683
197,QUEENSWAY,3028,3641,2506,3502
198,RAFFLES PLACE,7385,7318,6252,6171
199,REDHILL,7385,7318,6252,6171
200,RESERVOIR VIEW,633,587,572,599
201,RIDOUT,3017,3060,2859,2762
202,RIVERVALE,7385,7318,6252,6239
203,ROBERTSON QUAY,4120,3852,3843,3698
204,ROCHOR CANAL,2869,2767,2774,2752
205,SAFTI,252,876,215,683
206,SAMULUN,534,271,374,224
207,SAUJANA,5480,6401,5059,5748
208,SELEGIE,2291,2088,2189,1959
209,SELETAR,2480,2668,2325,2446
210,SELETAR AEROSPACE PARK,1149,1183,798,860
211,SELETAR HILLS,3264,2597,2581,2195
212,SEMBAWANG CENTRAL,7385,7318,6252,6239
213,SEMBAWANG EAST,1341,1863,1230,1854
214,SEMBAWANG HILLS,3169,2668,2822,2511
215,SEMBAWANG NORTH,3232,2668,3119,2463
216,SEMBAWANG SPRINGS,2797,2668,2793,2593
217,SEMBAWANG STRAITS,414,554,534,755
218,SENGKANG TOWN CENTRE,7385,7318,6252,6239
219,SENGKANG WEST,776,877,785,781
220,SENJA,5369,5863,5059,5445
221,SENNETT,4831,4445,4464,3903
222,SENOKO NORTH,1457,1700,1356,1485
223,SENOKO SOUTH,2271,2441,1607,1872
224,SENOKO WEST,1457,2021,1356,1893
225,SENTOSA,919,493,1166,870
226,SERANGOON CENTRAL,7385,7318,6252,6239
227,SERANGOON GARDEN,5789,6396,5321,5684
228,SERANGOON NORTH,5770,4758,4987,3984
229,SERANGOON NORTH IND ESTATE,3174,2644,2112,1755
230,SHANGRI-LA,5351,4006,4987,3847
231,SHIPYARD,486,556,352,392
232,SIGLAP,1891,4039,1789,3814
233,SIMEI,7385,7318,6252,6239
234,SINGAPORE GENERAL HOSPITAL,7385,7318,6252,6171
235,SINGAPORE POLYTECHNIC,7385,7231,5501,5577
236,SOMERSET,7385,7318,6252,6239
237,SPRINGLEAF,2611,1565,2293,1457
238,STRAITS VIEW,3034,3085,3759,3875
239,SUNGEI ROAD,6385,6269,6252,6106
240,SUNSET WAY,2416,1862,2084,1480
241,SWISS CLUB,4069,4006,3417,3745
242,TAGORE,3677,2872,3145,2572
243,TAI SENG,5104,4758,4464,4149
244,TAMAN JURONG,7385,7318,6252,6239
245,TAMPINES EAST,7385,7318,6252,6239
246,TAMPINES NORTH,2143,2926,2124,2833
247,TAMPINES WEST,7385,7318,6252,6239
248,TANGLIN,792,878,679,739
249,TANGLIN HALT,4397,4514,4154,4058
250,TANJONG PAGAR,7385,7318,6252,6171
251,TANJONG RHU,6317,6396,5918,6106
252,TEBAN GARDENS,5170,4480,5059,4298
253,TECK WHYE,7385,7196,6252,6171
254,TELOK BLANGAH DRIVE,5186,4696,4589,4298
255,TELOK BLANGAH RISE,4397,4445,4154,4058
256,TELOK BLANGAH WAY,2792,4445,2581,3978
257,TENGAH,1613,1388,1454,1245
258,TENGEH,170,197,163,180
259,THE WHARVES,403,939,450,1062
260,TIONG BAHRU,4387,4445,4255,4058
261,TIONG BAHRU STATION,7385,7318,6252,6239
262,TOA PAYOH CENTRAL,7385,7318,6252,6239
263,TOA PAYOH WEST,7385,7318,6252,6171
264,TOH GUAN,4584,4411,4434,4136
265,TOH TUCK,4039,4043,3427,3543
266,TOWNSVILLE,4831,5320,4690,5279
267,TRAFALGAR,5780,6396,5321,5684
268,TUAS BAY,4403,4425,4422,3983
269,TUAS NORTH,4403,4591,3775,4034
270,TUAS PROMENADE,4317,4226,4414,4275
271,TUAS VIEW,795,714,966,683
272,TUAS VIEW EXTENSION,395,374,519,436
273,TUKANG,2148,1131,1533,913
274,TURF CLUB,7385,7318,6252,6239
275,TYERSALL,6292,6483,5904,5763
276,ULU PANDAN,3017,1484,2771,1279
277,UPPER PAYA LEBAR,5104,4620,4690,4149
278,UPPER THOMSON,7385,7318,6252,6171
279,VICTORIA,7385,7318,6252,6239
280,WATERWAY EAST,7385,7318,6252,6171
281,WENYA,2509,2399,2054,2095
282,WEST COAST,2673,1558,2190,1382
283,WESTERN WATER CATCHMENT,2598,2561,2384,2253
284,WOODGROVE,2293,4158,2225,4173
285,WOODLANDS EAST,7385,7318,6252,6239
286,WOODLANDS REGIONAL CENTRE,7385,7318,6252,6239
287,WOODLANDS SOUTH,2143,3446,1799,3190
288,WOODLANDS WEST,7385,7318,6252,6239
289,WOODLEIGH,3115,1779,2665,1530
290,XILIN,7385,7318,6252,6106
291,YEW TEE,7385,7318,6252,6239
292,YIO CHU KANG,7385,7318,6252,6171
293,YIO CHU KANG EAST,3455,2867,1995,1822
294,YIO CHU KANG NORTH,1385,3133,930,2483
295,YIO CHU KANG WEST,4762,4006,4464,3847
296,YISHUN CENTRAL,5979,6396,5904,5781
297,YISHUN EAST,3264,3976,3119,3839
298,YISHUN SOUTH,3264,6396,3119,5763
299,YISHUN WEST,7385,7318,6252,6239
300,YUHUA EAST,5186,5179,5059,5005
301,YUHUA WEST,4866,5179,4507,5005
302,YUNNAN,5104,5080,4765,4905
